ppm intensity peak
0.451896647 0.015278187 1
0.452446399 0.028282185 1
0.452996152 0.058850305 1
0.453545904 0.059073389 1
0.454095657 0.064129545 1
0.45464541 0.036327597 1
0.455195162 0.0401403 1
0.455744915 0.031079394 1
0.456294667 0.03099521 1
0.45684442 0.012932286 1
0.457394173 0.002707715 1
0.457943925 -0.013630245 1
0.458493678 -0.013630245 1
0.45904343 -0.013630245 1
0.459593183 0.005654546 1
0.460142936 0.024098011 1
0.460692688 -0.00023128 1
0.461242441 0.022452239 1
0.461792194 0.018210141 1
0.462341946 0.014061325 1
0.462891699 -0.004788057 1
0.463441451 -0.004788057 1
0.463991204 -0.004788057 1
0.464540957 -0.004788057 1
0.465090709 0.008196526 1
0.465640462 0.004837579 1
0.466190214 0.017199426 1
0.466739967 0.017199426 1
0.46728972 0.017199426 1
0.467839472 0.026867755 1
0.468389225 0.011357026 1
0.468938977 0.000830686 1
0.46948873 0.012237984 1
0.470038483 -0.006906501 1
0.470588235 -0.006906501 1
0.471137988 0.008587004 1
0.471687741 0.032315241 1
0.472237493 0.040075418 1
0.472787246 0.035052009 1
0.473336998 0.057040732 1
0.473886751 0.040720816 1
0.474436504 0.041600448 1
0.474986256 0.048606689 1
0.475536009 0.033033274 1
0.476085761 0.011732587 1
0.476635514 0.000470774 1
0.477185267 0.007549043 1
0.477735019 -0.00278557 1
0.478284772 -0.00278557 1
0.478834524 -0.00278557 1
0.479384277 -0.00278557 1
0.47993403 0.009177237 1
0.480483782 -0.010720259 1
0.481033535 0.001730689 1
0.481583288 0.001467326 1
0.48213304 0.001216192 1
0.482682793 0.019627265 1
0.483232545 0.031137854 1
0.483782298 0.054469417 1
0.484332051 0.037628216 1
0.484881803 0.058243392 1
0.485431556 0.029413525 1
0.485981308 0.028102909 1
0.486531061 0.056152437 1
0.487080814 0.051666854 1
0.487630566 0.039559592 1
0.488180319 0.039559592 1
0.488730071 0.039559592 1
0.489279824 0.039559592 1
0.489829577 0.042651843 1
0.490379329 0.031097031 1
0.490929082 0.015191774 1
